track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#
256,2,2,2022,9,29,5.087596335232384,6,18.078290993329713,10,79,2.0,0,42.0,135,0,80,85,74,62,0,8,9,False,False,False,False,False,False,False,True,False,False,False
280,257,2,2023,6,2,5.225746673713202,3,17.588790671608788,5,6,4.0,1,33.0,98,0,73,45,62,28,0,13,13,False,True,False,False,False,False,False,False,False,False,False
120,126,1,2023,3,31,6.733401891837359,18,19.266106523088464,20,110,20.0,0,69.0,124,0,84,64,39,3,0,11,4,True,False,False,False,False,False,False,False,False,False,False
22,107,3,2023,6,2,5.560681631015528,0,17.429846568197362,5,17,5.0,0,0.0,135,0,77,28,55,18,0,22,15,True,False,False,False,False,False,False,False,False,False,False
344,106,3,2022,12,2,7.992944547318106,16,19.80956254226769,41,69,38.0,0,36.0,117,0,72,45,59,14,0,20,21,False,False,False,False,False,False,False,True,False,False,False
189,24,2,2023,4,4,5.676753802268282,8,18.65990718152355,8,78,4.0,1,1.0,133,0,78,90,84,31,0,7,4,True,False,False,False,False,False,False,False,False,False,False
54,96,1,2022,12,2,7.7501841622578365,36,19.65914688671365,29,65,34.0,5,3.0,96,0,74,61,83,11,0,35,6,False,False,False,False,False,False,False,False,False,False,True
58,103,2,2022,12,1,6.285998094508865,10,19.478823934158413,10,72,8.0,3,14.0,149,1,66,85,60,40,0,14,13,False,False,False,False,False,False,False,False,False,False,True
329,165,2,2023,5,26,5.886104031450156,2,17.9156804367024,1,0,9.0,0,0.0,110,0,66,32,40,81,0,11,3,False,False,False,False,False,False,False,False,True,False,False
246,96,1,2022,7,8,7.808729306744399,36,19.945162843821418,47,66,45.0,5,6.0,170,0,71,59,56,4,0,27,12,False,False,False,False,False,False,True,False,False,False,False
198,116,2,2023,6,5,5.375278407684165,6,17.766480777609814,6,14,8.0,2,4.0,84,0,43,14,74,1,0,19,8,True,False,False,False,False,False,False,False,False,False,False
243,253,2,2023,4,21,7.174724309836376,34,18.560529995559442,29,26,43.0,5,44.0,91,1,82,47,62,10,0,10,15,False,False,False,False,False,False,False,False,False,True,False
11,153,2,2023,5,19,6.799055862058796,0,17.86012318518998,34,2,33.0,0,1.0,126,1,78,20,70,1,0,16,4,False,False,False,True,False,False,False,False,False,False,False
174,170,1,2022,10,17,8.293049139768444,13,19.94059830910698,72,27,47.0,0,0.0,150,1,49,4,55,7,0,6,3,False,False,True,False,False,False,False,False,False,False,False
386,263,1,2016,1,21,8.94663520890585,13,20.66122536854207,119,66,,2,2.0,174,1,47,27,78,11,0,10,8,True,False,False,False,False,False,False,False,False,False,False
81,209,2,2023,6,2,5.3706380281276624,0,17.033412068342226,3,3,6.0,0,0.0,143,1,83,25,69,4,0,23,12,False,False,True,False,False,False,False,False,False,False,False
365,90,1,2000,1,1,9.94097599694712,27,21.07714958742641,81,53,,1,17.0,104,0,95,78,66,3,0,4,6,False,False,False,False,False,False,False,True,False,False,False
359,293,1,2021,12,10,7.857867559331803,32,19.846033995036716,3,79,21.0,1,54.0,105,0,65,46,53,16,0,9,5,False,False,False,False,False,False,False,False,True,False,False
135,136,1,2022,6,10,8.753213480544126,6,20.71171512558724,109,42,158.0,3,31.0,170,1,44,27,32,89,0,14,5,False,False,False,False,False,False,False,False,False,False,True
221,183,3,2023,5,4,6.516193076042964,1,17.74434397337005,9,13,11.0,0,1.0,178,0,62,56,66,18,0,12,5,False,False,False,True,False,False,False,False,False,False,False
75,81,1,2023,5,5,6.573680166960646,0,17.501723710653657,37,3,27.0,0,50.0,176,0,50,44,76,10,0,32,5,False,False,False,False,False,False,False,False,True,False,False
378,208,2,2023,5,1,5.793013608384144,13,18.337680757838235,14,110,9.0,0,49.0,104,0,80,38,88,11,0,11,5,False,False,False,False,False,False,True,False,False,False,False
69,239,2,2023,4,30,5.955837369464831,4,18.162340518170137,17,7,41.0,1,29.0,117,0,77,69,58,39,0,26,5,False,False,False,False,False,False,False,False,True,False,False
240,163,1,2023,4,7,7.456454555176209,3,18.584056524248624,46,5,51.0,0,20.0,98,1,44,36,41,50,0,38,5,False,False,False,False,False,False,False,True,False,False,False
416,174,1,2022,4,8,8.084254106307318,9,19.496321164782643,67,55,48.0,0,6.0,148,1,51,27,33,48,0,22,3,True,False,False,False,False,False,False,False,False,False,False
150,121,1,2023,4,10,5.905361848054571,15,18.628773615880696,16,102,7.0,0,55.0,122,0,68,38,88,1,0,8,5,False,False,False,False,False,False,True,False,False,False,False
74,317,1,1997,1,1,6.159095388491933,2,18.45761537485588,0,0,6.0,0,0.0,144,1,74,75,73,42,0,9,4,False,False,False,False,False,False,False,True,False,False,False
342,243,1,2023,4,24,5.605802066295998,12,18.328802554127332,16,103,9.0,0,55.0,137,1,77,35,88,16,0,17,9,False,False,False,False,False,False,False,False,False,False,True
21,279,1,2019,8,23,7.1569563646156364,6,19.03716617038536,26,6,19.0,0,5.0,96,1,72,40,47,71,0,13,4,False,False,False,False,True,False,False,False,False,False,False
286,206,2,2023,4,14,7.275864600546533,4,18.469403734437126,0,0,0.0,0,0.0,148,1,90,74,68,14,0,10,19,True,False,False,False,False,False,False,False,False,False,False
87,111,2,2023,2,3,5.877735781779639,10,18.80791629204499,4,64,4.0,2,37.0,182,1,57,80,59,8,0,6,5,True,False,False,False,False,False,False,False,False,False,False
162,104,2,2022,12,30,5.583496308781699,6,18.88410640447167,8,84,5.0,1,4.0,145,0,76,80,81,19,0,6,9,False,False,False,False,False,False,True,False,False,False,False
317,274,2,2023,4,25,5.863631175598097,9,18.158154851423763,16,90,10.0,0,64.0,110,0,76,26,70,1,0,41,6,False,False,True,False,False,False,False,False,False,False,False
179,236,1,2022,8,16,5.0689042022202315,4,18.736395316088814,5,6,1.0,1,18.0,134,1,70,35,41,41,0,10,3,False,False,False,False,False,False,False,False,False,True,False
